notificationId;conducteurId;passagerId;trajetId;type;message;dateCreation;estLue
NOTIF_1774971624939_41233051;41233051;47586912;41233051_kram_IHEC;ACCEPTATION;Accepté par tlili mokhtar pour le trajet kram → IHEC;2026-03-31 16:40:24;true
NOTIF_1774971237336_41233051;41233051;47586912;41233051_kram_IHEC;REFUS;Refusé par tlili mokhtar pour le trajet kram → IHEC;2026-03-31 16:33:57;true
NOTIF_1774970672241_41233051;41233051;47586912;41233051_kram_IHEC;REFUS;Refusé pour le trajet kram → IHEC;2026-03-31 16:24:32;true
NOTIF_1775147594702_41233051;41233051;47586912;41233051_kram_IHEC;SUPPRESSION;Supprimé du trajet par tlili mokhtar (kram → IHEC);2026-04-02 17:33:14;true
NOTIF_1775150246954_41233051;41233051;47586912;41233051_kram_IHEC;ACCEPTATION;Accepté par tlili mokhtar pour le trajet kram → IHEC;2026-04-02 18:17:26;true
NOTIF_1775151302204_41233051;41233051;47586912;41233051_kram_IHEC;ACCEPTATION;Accepté par tlili mokhtar pour le trajet kram → IHEC;2026-04-02 18:35:02;true
NOTIF_1775430701937_41233051;41233051;47586912;41233051_kram_IHEC;ACCEPTATION;Accepté par tlili mokhtar pour le trajet kram → IHEC;2026-04-06 00:11:41;true
NOTIF_1778496482652_15032608;12121212;15032608;15032608_La marsa_IHEC;DEMANDE;Nouvelle demande de dcc dd pour le trajet La marsa → IHEC;2026-05-11 11:48:02;true
NOTIF_1778496502311_15032608;12121212;15032608;;MESSAGE;📨 Message de dcc dd: bonjourrrr, najem nerkeb m3ak;2026-05-11 11:48:22;true
NOTIF_1778496579190_15032608;13131313;15032608;15032608_La marsa_IHEC;DEMANDE;Nouvelle demande de ddf dds pour le trajet La marsa → IHEC;2026-05-11 11:49:39;true
NOTIF_1778496744462_15032608_GRPMSG;12121212;15032608;GRP_1778496676848_15032608;MESSAGE_GROUPE;💬 [ihec cocovoit] dcc dd: okk;2026-05-11 11:52:24;true
NOTIF_1778496760224_15032608_EVAL;12121212;15032608;;EVALUATION;⭐ dcc dd vous a évalué ★★★★☆ : thneya behya;2026-05-11 11:52:40;true
NOTIF_1778496812286_15032608_EVAL;13131313;15032608;;EVALUATION;⭐ ddf dds vous a évalué ★★★★★ : ddd;2026-05-11 11:53:32;true
NOTIF_1778526234540_15032608;13131313;15032608;15032608_s_s;DEMANDE;Nouvelle demande de ddf dds pour le trajet s → s;2026-05-11 20:03:54;true
NOTIF_1778526273751_15032608;13131313;15032608;15032608_La marsa_IHEC;ANNULATION;Annulation de réservation par ddf dds pour le trajet La marsa → IHEC;2026-05-11 20:04:33;true
NOTIF_1778526293728_15032608;13131313;15032608;;MESSAGE;📨 Message de ddf dds: bch nerkbou lila?;2026-05-11 20:04:53;true
NOTIF_1775431482789_47586912;47586912;41233051;;MESSAGE;📨 Message de jaleli meriem: bonjour;2026-04-06 00:24:42;true
NOTIF_1775431490068_47586912;47586912;41233051;;MESSAGE;📨 Message de jaleli meriem: je suis prés;2026-04-06 00:24:50;true
