notificationId;passagerId;conducteurId;trajetId;type;message;dateCreation;estLue
NOTIF_1775431482789_47586912;41233051;47586912;;MESSAGE;📨 Message de jaleli meriem: bonjour;2026-04-06 00:24:42;true
NOTIF_1775431490068_47586912;41233051;47586912;;MESSAGE;📨 Message de jaleli meriem: je suis prés;2026-04-06 00:24:50;true
NOTIF_1778496618603_13131313;13131313;15032608;15032608_La marsa_IHEC;ACCEPTATION;Accepté par Se Walid pour le trajet La marsa → IHEC;2026-05-11 11:50:18;true
NOTIF_1778496676849_13131313_GRP;13131313;15032608;GRP_1778496676848_15032608;GROUPE;👥 Vous avez été ajouté au groupe « ihec cocovoit » par Se Walid;2026-05-11 11:51:16;true
NOTIF_1778496694607_13131313_GRPMSG;13131313;15032608;GRP_1778496676848_15032608;MESSAGE_GROUPE;💬 [ihec cocovoit] Se Walid: behi neselkol, trajet kol lundi;2026-05-11 11:51:34;true
NOTIF_1778496744462_13131313_GRPMSG;13131313;12121212;GRP_1778496676848_15032608;MESSAGE_GROUPE;💬 [ihec cocovoit] dcc dd: okk;2026-05-11 11:52:24;true
NOTIF_1778525571520_13131313_GRPMSG;13131313;15032608;GRP_1778496676848_15032608;MESSAGE_GROUPE;💬 [ihec cocovoit] Se Walid: sahitek;2026-05-11 19:52:51;true
NOTIF_ADMIN_MSG_1778525840798_13131313;13131313;99999999;;MESSAGE;Message de l'administrateur: bch nbaniweh;2026-05-11 19:57:20;true
NOTIF_1778526350943_13131313;13131313;15032608;15032608_s_s;ACCEPTATION;Accepté par Se Walid pour le trajet s → s;2026-05-11 20:05:50;false
NOTIF_1778496614904_12121212;12121212;15032608;15032608_La marsa_IHEC;ACCEPTATION;Accepté par Se Walid pour le trajet La marsa → IHEC;2026-05-11 11:50:14;true
NOTIF_1778496627462_12121212;12121212;15032608;;MESSAGE;📨 Message de Se Walid: jawek ahla jaw;2026-05-11 11:50:27;true
NOTIF_1778496676848_12121212_GRP;12121212;15032608;GRP_1778496676848_15032608;GROUPE;👥 Vous avez été ajouté au groupe « ihec cocovoit » par Se Walid;2026-05-11 11:51:16;true
NOTIF_1778496694607_12121212_GRPMSG;12121212;15032608;GRP_1778496676848_15032608;MESSAGE_GROUPE;💬 [ihec cocovoit] Se Walid: behi neselkol, trajet kol lundi;2026-05-11 11:51:34;true
NOTIF_1778525571519_12121212_GRPMSG;12121212;15032608;GRP_1778496676848_15032608;MESSAGE_GROUPE;💬 [ihec cocovoit] Se Walid: sahitek;2026-05-11 19:52:51;false
NOTIF_1774971624939_41233051;47586912;41233051;41233051_kram_IHEC;ACCEPTATION;Accepté par tlili mokhtar pour le trajet kram → IHEC;2026-03-31 16:40:24;true
NOTIF_1774971237336_41233051;47586912;41233051;41233051_kram_IHEC;REFUS;Refusé par tlili mokhtar pour le trajet kram → IHEC;2026-03-31 16:33:57;true
NOTIF_1774970672241_41233051;47586912;41233051;41233051_kram_IHEC;REFUS;Refusé pour le trajet kram → IHEC;2026-03-31 16:24:32;true
NOTIF_1775147594702_41233051;47586912;41233051;41233051_kram_IHEC;SUPPRESSION;Supprimé du trajet par tlili mokhtar (kram → IHEC);2026-04-02 17:33:14;true
NOTIF_1775150246954_41233051;47586912;41233051;41233051_kram_IHEC;ACCEPTATION;Accepté par tlili mokhtar pour le trajet kram → IHEC;2026-04-02 18:17:26;true
NOTIF_1775151302204_41233051;47586912;41233051;41233051_kram_IHEC;ACCEPTATION;Accepté par tlili mokhtar pour le trajet kram → IHEC;2026-04-02 18:35:02;true
NOTIF_1775430701937_41233051;47586912;41233051;41233051_kram_IHEC;ACCEPTATION;Accepté par tlili mokhtar pour le trajet kram → IHEC;2026-04-06 00:11:41;true
